,DEPTH,DT,GR,NPHI,PEF,RHOB,WELL
70006,2607.3,98.663,32.754,0.272,5.162,2.189,15/9-F-11 A
70007,2607.4,99.222,32.668,0.274,5.168,2.189,15/9-F-11 A
70008,2607.5,99.198,32.109,0.276,5.136,2.19,15/9-F-11 A
70009,2607.6,99.044,30.053,0.279,5.074,2.19,15/9-F-11 A
70010,2607.7,98.795,28.497,0.283,5.027,2.19,15/9-F-11 A
70011,2607.8,98.659,29.497,0.289,5.053,2.189,15/9-F-11 A
70012,2607.9,98.598,31.087,0.301,5.203,2.191,15/9-F-11 A
70013,2608.0,98.652,35.991,0.318,5.508,2.197,15/9-F-11 A
70014,2608.1,98.905,42.866,0.344,5.93,2.211,15/9-F-11 A
70015,2608.2,99.248,49.618,0.368,6.377,2.235,15/9-F-11 A
70016,2608.3,99.69,54.604,0.384,6.689,2.265,15/9-F-11 A
70017,2608.4,100.28,60.595,0.386,6.771,2.294,15/9-F-11 A
70018,2608.5,100.993,63.962,0.371,6.614,2.31,15/9-F-11 A
70019,2608.6,101.963,61.152,0.351,6.322,2.306,15/9-F-11 A
70020,2608.7,102.891,52.352,0.342,6.085,2.286,15/9-F-11 A
70021,2608.8,103.84,45.544,0.343,6.044,2.263,15/9-F-11 A
70022,2608.9,104.991,44.964,0.354,6.178,2.251,15/9-F-11 A
70023,2609.0,106.188,47.718,0.363,6.34,2.255,15/9-F-11 A
70024,2609.1,107.456,53.557,0.375,6.416,2.266,15/9-F-11 A
70025,2609.2,109.065,58.377,0.388,6.438,2.269,15/9-F-11 A
70026,2609.3,110.702,58.583,0.41,6.553,2.264,15/9-F-11 A
70027,2609.4,112.382,62.77,0.435,6.808,2.259,15/9-F-11 A
70028,2609.5,114.384,71.04,0.458,7.118,2.264,15/9-F-11 A
70029,2609.6,116.01,74.674,0.477,7.318,2.277,15/9-F-11 A
70030,2609.7,117.311,75.451,0.49,7.331,2.29,15/9-F-11 A
70031,2609.8,118.033,77.477,0.495,7.225,2.296,15/9-F-11 A
70032,2609.9,118.232,78.429,0.495,7.101,2.297,15/9-F-11 A
70033,2610.0,117.91,77.676,0.492,7.021,2.299,15/9-F-11 A
70034,2610.1,117.746,75.239,0.484,6.998,2.303,15/9-F-11 A
70035,2610.2,117.187,74.651,0.471,7.01,2.306,15/9-F-11 A
70036,2610.3,116.145,73.736,0.449,7.019,2.306,15/9-F-11 A
70037,2610.4,115.441,71.072,0.427,6.985,2.302,15/9-F-11 A
70038,2610.5,114.66,64.63,0.407,6.872,2.295,15/9-F-11 A
70039,2610.6,113.731,60.306,0.392,6.692,2.284,15/9-F-11 A
70040,2610.7,113.803,56.641,0.379,6.492,2.269,15/9-F-11 A
70041,2610.8,113.889,52.42,0.372,6.333,2.249,15/9-F-11 A
70042,2610.9,113.756,49.687,0.369,6.236,2.229,15/9-F-11 A
70043,2611.0,113.468,45.754,0.367,6.201,2.212,15/9-F-11 A
70044,2611.1,112.913,46.434,0.367,6.207,2.202,15/9-F-11 A
70045,2611.2,111.831,47.978,0.363,6.228,2.199,15/9-F-11 A
70046,2611.3,110.869,48.64,0.362,6.244,2.199,15/9-F-11 A
70047,2611.4,109.965,49.873,0.368,6.253,2.199,15/9-F-11 A
70048,2611.5,109.135,51.422,0.373,6.26,2.202,15/9-F-11 A
70049,2611.6,108.558,54.444,0.373,6.247,2.21,15/9-F-11 A
70050,2611.7,108.152,53.76,0.368,6.205,2.221,15/9-F-11 A
70051,2611.8,108.049,53.106,0.369,6.151,2.233,15/9-F-11 A
70052,2611.9,108.255,53.96,0.378,6.151,2.24,15/9-F-11 A
70053,2612.0,108.614,58.392,0.402,6.259,2.245,15/9-F-11 A
70054,2612.1,109.039,63.602,0.431,6.469,2.251,15/9-F-11 A
70055,2612.2,109.741,65.994,0.453,6.712,2.259,15/9-F-11 A
70056,2612.3,110.624,67.711,0.46,6.91,2.266,15/9-F-11 A
70057,2612.4,111.7,69.143,0.45,7.013,2.272,15/9-F-11 A
70058,2612.5,113.383,69.974,0.433,7.029,2.276,15/9-F-11 A
70059,2612.6,115.46,67.368,0.417,6.997,2.278,15/9-F-11 A
70060,2612.7,117.219,65.561,0.41,6.961,2.278,15/9-F-11 A
70061,2612.8,118.49,67.43,0.41,6.951,2.279,15/9-F-11 A
70062,2612.9,119.321,72.941,0.411,6.971,2.284,15/9-F-11 A
70063,2613.0,118.598,77.084,0.41,7.009,2.293,15/9-F-11 A
70064,2613.1,117.079,80.62,0.41,7.072,2.304,15/9-F-11 A
70065,2613.2,114.753,83.013,0.405,7.183,2.316,15/9-F-11 A
